l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1923,3696,950,6,50,79984.50,0.03,0.03,N,O,1997-11-04,1997-08-08,1997-11-25,NONE                     ,TRUCK     ,uickly along the bold courts. bold the
1924,7257,29,1,7,8149.75,0.06,0.07,N,O,1997-01-01,1996-12-02,1997-01-08,COLLECT COD              ,SHIP      ,osits. even accounts nag furious
1924,1737,491,2,47,77020.31,0.02,0.06,N,O,1996-11-24,1996-10-18,1996-12-13,COLLECT COD              ,REG AIR   ,silent requests cajole blithely final pack
1924,5679,680,3,40,63386.80,0.04,0.08,N,O,1996-10-31,1996-11-30,1996-11-21,NONE                     ,REG AIR   ,ains sleep carefully
1924,3318,825,4,31,37860.61,0.03,0.03,N,O,1996-09-20,1996-10-19,1996-10-19,DELIVER IN PERSON        ,SHIP      , the slyly regular foxes. ruthle
1924,3542,49,5,17,24574.18,0.04,0.05,N,O,1996-12-31,1996-11-12,1997-01-25,COLLECT COD              ,TRUCK     ,e carefully theodolites. ironically ironic 
1924,7571,343,6,15,22178.55,0.02,0.04,N,O,1997-01-04,1996-11-13,1997-01-27,NONE                     ,SHIP      ,he package
1924,3954,955,7,21,39016.95,0.09,0.03,N,O,1996-09-21,1996-11-12,1996-10-02,TAKE BACK RETURN         ,AIR       , blithely reg
1925,18372,909,1,50,64518.50,0.01,0.02,R,F,1992-04-12,1992-04-23,1992-05-08,TAKE BACK RETURN         ,TRUCK     ,usual pinto
1925,13428,218,2,35,46949.70,0.06,0.06,R,F,1992-05-11,1992-04-10,1992-05-14,TAKE BACK RETURN         ,AIR       ,counts. carefully ironic packages boost ab
1925,11502,764,3,40,56540.00,0.08,0.08,A,F,1992-05-17,1992-05-20,1992-06-08,TAKE BACK RETURN         ,AIR       ,e carefully regul
1925,2976,229,4,17,31942.49,0.06,0.02,R,F,1992-05-18,1992-04-06,1992-06-16,TAKE BACK RETURN         ,MAIL      ,instructions sleep. pinto bea
1926,5031,287,1,24,22464.72,0.06,0.05,N,O,1996-05-04,1996-03-14,1996-06-01,DELIVER IN PERSON        ,RAIL      ,e theodolites.
1926,10503,764,2,29,40991.50,0.09,0.08,N,O,1996-02-26,1996-03-14,1996-03-14,TAKE BACK RETURN         ,TRUCK     ,es. dependencies according to the fl
1926,17765,567,3,10,16827.60,0.02,0.03,N,O,1996-05-23,1996-03-02,1996-06-04,NONE                     ,AIR       ,usly bold accounts. express accounts
1926,6778,779,4,13,21902.01,0.04,0.02,N,O,1996-04-26,1996-04-13,1996-05-08,DELIVER IN PERSON        ,MAIL      ,eans wake bli
1926,3993,500,5,29,55012.71,0.06,0.00,N,O,1996-02-29,1996-03-13,1996-03-24,DELIVER IN PERSON        ,MAIL      ,hily unusual packages are fluffily am
1927,6790,303,1,3,5090.37,0.00,0.05,N,O,1995-10-06,1995-12-08,1995-11-05,COLLECT COD              ,FOB       ,ccounts affi
1927,7247,762,2,15,17313.60,0.08,0.08,N,O,1995-12-25,1995-12-26,1995-12-31,COLLECT COD              ,RAIL      , carefully regular requests sleep car
1927,6479,248,3,6,8312.82,0.05,0.05,N,O,1995-11-29,1995-11-20,1995-12-08,TAKE BACK RETURN         ,TRUCK     ,furiously even wat
1952,5206,717,1,7,7778.40,0.04,0.05,A,F,1994-05-06,1994-06-11,1994-05-12,NONE                     ,RAIL      ,"about the express, even requ"
1952,14168,697,2,6,6492.96,0.06,0.05,A,F,1994-05-09,1994-05-21,1994-05-26,DELIVER IN PERSON        ,AIR       ,packages haggle. 
1953,12762,549,1,25,41869.00,0.07,0.06,A,F,1994-01-07,1994-01-28,1994-01-29,TAKE BACK RETURN         ,RAIL      ,"ular, regular i"
1953,1388,389,2,35,45128.30,0.06,0.06,R,F,1994-02-03,1994-02-25,1994-02-14,DELIVER IN PERSON        ,FOB       ,among the fur
1954,15127,658,1,31,32305.72,0.06,0.06,N,O,1997-08-18,1997-07-07,1997-09-03,DELIVER IN PERSON        ,RAIL      ,"against the packages. bold, ironic e"
1954,18118,655,2,1,1036.11,0.03,0.01,N,O,1997-09-16,1997-07-08,1997-10-07,COLLECT COD              ,MAIL      ,te. furiously final deposits hag
1954,19867,406,3,11,19655.46,0.07,0.07,N,O,1997-08-07,1997-07-23,1997-08-25,DELIVER IN PERSON        ,TRUCK     ,y carefully ironi
1954,15822,353,4,12,20853.84,0.02,0.08,N,O,1997-07-19,1997-07-04,1997-08-06,COLLECT COD              ,AIR       ,ongside of the slyly unusual requests. reg
1954,16971,504,5,29,54751.13,0.08,0.08,N,O,1997-08-25,1997-07-15,1997-09-02,DELIVER IN PERSON        ,RAIL      ,use thinly furiously regular asy
1954,17628,629,6,13,20093.06,0.00,0.07,N,O,1997-06-15,1997-08-22,1997-06-20,TAKE BACK RETURN         ,MAIL      ,y ironic instructions cajole
1954,19348,349,7,49,62099.66,0.05,0.06,N,O,1997-06-04,1997-08-29,1997-06-14,COLLECT COD              ,TRUCK     ,eans. final pinto beans sleep furiousl
1955,13606,870,1,32,48627.20,0.02,0.02,A,F,1992-07-05,1992-06-29,1992-08-03,TAKE BACK RETURN         ,TRUCK     ,g to the carefully sile
1955,1708,462,2,2,3219.40,0.03,0.01,R,F,1992-07-06,1992-07-06,1992-08-01,COLLECT COD              ,TRUCK     ,ickly aroun
1955,15770,36,3,41,69116.57,0.08,0.06,A,F,1992-08-01,1992-06-04,1992-08-07,COLLECT COD              ,AIR       , carefully against the furiously reg
1955,825,326,4,16,27613.12,0.03,0.07,A,F,1992-04-30,1992-06-23,1992-05-23,TAKE BACK RETURN         ,FOB       ,odolites eat s
1955,15844,845,5,11,19358.24,0.09,0.01,A,F,1992-06-03,1992-07-04,1992-06-07,NONE                     ,REG AIR   ,ously quickly pendi
1956,17635,636,1,8,12421.04,0.02,0.04,A,F,1992-12-25,1992-11-24,1993-01-12,TAKE BACK RETURN         ,AIR       ,"efully about the ironic, ironic de"
1956,10296,557,2,16,19300.64,0.00,0.05,R,F,1992-11-11,1992-11-11,1992-11-30,NONE                     ,FOB       ,es cajole blithely. pen
1956,13892,156,3,39,70429.71,0.08,0.02,A,F,1992-09-24,1992-11-26,1992-10-15,DELIVER IN PERSON        ,REG AIR   ,r theodolites sleep above the b
1956,2829,830,4,11,19050.02,0.10,0.00,A,F,1992-12-19,1992-10-29,1993-01-07,TAKE BACK RETURN         ,AIR       , the braids slee
1956,15490,21,5,16,22487.84,0.08,0.02,R,F,1992-09-28,1992-10-21,1992-09-30,TAKE BACK RETURN         ,FOB       , wake after the 
1957,7829,87,1,50,86841.00,0.09,0.05,N,O,1998-08-08,1998-09-28,1998-08-27,COLLECT COD              ,FOB       ,gainst the re
1957,11803,65,2,31,53158.80,0.10,0.08,N,O,1998-08-13,1998-08-31,1998-08-16,NONE                     ,REG AIR   ,express packages maintain fluffi
1958,7206,721,1,9,10018.80,0.01,0.05,N,O,1995-12-08,1995-12-17,1995-12-18,DELIVER IN PERSON        ,REG AIR   ,ickly. slyly bold 
1958,17507,508,2,29,41310.50,0.05,0.06,N,O,1996-01-19,1995-12-05,1996-02-14,COLLECT COD              ,SHIP      ,d pinto beans
1958,10178,179,3,4,4352.68,0.04,0.02,N,O,1995-10-24,1995-12-09,1995-10-28,DELIVER IN PERSON        ,AIR       ,he slyly even dependencies 
1958,8261,778,4,38,44431.88,0.09,0.07,N,O,1995-10-09,1995-11-26,1995-11-05,COLLECT COD              ,TRUCK     ,yly. slyly regular courts use silentl
1958,10092,873,5,31,31064.79,0.08,0.01,N,O,1995-10-31,1995-11-12,1995-11-07,TAKE BACK RETURN         ,TRUCK     ,r deposits c
1958,1618,121,6,44,66862.84,0.08,0.04,N,O,1995-12-17,1995-11-30,1996-01-15,TAKE BACK RETURN         ,RAIL      ,c theodolites after the unusual deposit
1958,3840,600,7,29,50571.36,0.02,0.05,N,O,1995-10-14,1995-11-06,1995-11-01,NONE                     ,REG AIR   ,final requests nag according to the 
1959,16868,869,1,46,82103.56,0.04,0.00,N,O,1997-05-05,1997-03-03,1997-05-24,TAKE BACK RETURN         ,AIR       , furiously ex
1959,11944,467,2,15,27839.10,0.08,0.07,N,O,1997-01-20,1997-02-18,1997-02-08,DELIVER IN PERSON        ,MAIL      , quickly sp
1984,5206,972,1,45,50004.00,0.03,0.04,N,O,1998-04-09,1998-06-11,1998-05-01,COLLECT COD              ,AIR       ,p. quickly final ideas sle
1984,6999,512,2,35,66709.65,0.01,0.07,N,O,1998-05-18,1998-05-04,1998-06-01,COLLECT COD              ,RAIL      ,tes. quickly pending packages haggle boldl
1985,2716,473,1,33,53417.43,0.10,0.03,R,F,1994-12-04,1994-11-01,1994-12-05,DELIVER IN PERSON        ,FOB       ,s are express packages. pendin
1985,2040,293,2,50,47102.00,0.04,0.02,R,F,1994-09-30,1994-10-18,1994-10-12,COLLECT COD              ,AIR       ,ate carefully. carefully
1985,13321,585,3,20,24686.40,0.07,0.03,R,F,1994-10-29,1994-11-12,1994-11-27,NONE                     ,TRUCK     ,regular requests. furiously express
1985,19814,815,4,30,52014.30,0.05,0.07,R,F,1994-09-06,1994-10-10,1994-09-26,NONE                     ,RAIL      ,uickly. instr
1985,12382,645,5,42,54363.96,0.05,0.05,R,F,1994-10-25,1994-11-03,1994-11-19,DELIVER IN PERSON        ,SHIP      , patterns? final requests after the sp
1985,1968,471,6,2,3739.92,0.02,0.00,A,F,1994-11-25,1994-10-09,1994-12-25,TAKE BACK RETURN         ,FOB       , silent inst
1986,9149,150,1,12,12697.68,0.06,0.05,A,F,1994-08-17,1994-06-28,1994-09-02,COLLECT COD              ,RAIL      ,sleep furiously fluffily final
1986,10468,729,2,10,13784.60,0.10,0.03,R,F,1994-05-14,1994-06-21,1994-06-02,COLLECT COD              ,REG AIR   ,yly into the carefully even 
1986,6272,529,3,14,16495.78,0.04,0.02,R,F,1994-07-14,1994-06-19,1994-08-08,NONE                     ,SHIP      ,"the packages. pending, unusual"
1987,1502,256,1,7,9824.50,0.03,0.03,A,F,1994-07-30,1994-07-06,1994-08-29,NONE                     ,REG AIR   , regular a
1988,7101,616,1,36,36291.60,0.09,0.04,N,O,1996-01-21,1995-11-24,1996-01-27,NONE                     ,RAIL      ,gular theodolites. 
1988,19845,653,2,19,33531.96,0.08,0.08,N,O,1996-02-03,1995-12-10,1996-02-14,COLLECT COD              ,FOB       ,lly about the slyly thin instructions. f
1988,5379,145,3,8,10274.96,0.06,0.01,N,O,1995-10-20,1995-11-11,1995-11-18,DELIVER IN PERSON        ,AIR       ,le quickly ac
1988,3567,821,4,27,39705.12,0.08,0.00,N,O,1996-01-27,1995-12-24,1996-02-24,TAKE BACK RETURN         ,TRUCK     ,uests. regular requests are according to t
1988,7818,333,5,26,44871.06,0.08,0.04,N,O,1996-01-25,1995-12-15,1996-01-26,COLLECT COD              ,SHIP      , ironic dolphins haggl
1988,8595,370,6,9,13532.31,0.08,0.03,N,O,1995-12-26,1996-01-02,1996-01-25,DELIVER IN PERSON        ,MAIL      ,lar platelets. slyly ironic packa
1989,988,739,1,47,88782.06,0.10,0.02,R,F,1994-06-21,1994-05-27,1994-06-22,TAKE BACK RETURN         ,REG AIR   ,final deposits s
1990,10097,98,1,46,46326.14,0.01,0.07,R,F,1994-12-29,1995-03-14,1995-01-13,NONE                     ,TRUCK     ,ar sentiments.
1991,10901,162,1,39,70664.10,0.06,0.02,A,F,1993-01-01,1992-11-29,1993-01-10,TAKE BACK RETURN         ,TRUCK     ,ckages? carefully bold depos
1991,5281,537,2,49,58127.72,0.08,0.06,R,F,1992-10-19,1992-11-29,1992-10-25,NONE                     ,SHIP      ,nd the ideas affi
1991,17356,357,3,6,7640.10,0.02,0.01,A,F,1992-11-02,1992-10-08,1992-11-14,TAKE BACK RETURN         ,REG AIR   ,hes nag slyly
1991,13738,265,4,6,9910.38,0.10,0.06,A,F,1992-11-21,1992-11-03,1992-11-27,NONE                     ,RAIL      ,uickly blithely final de
1991,5931,187,5,49,90009.57,0.06,0.00,R,F,1992-09-10,1992-11-30,1992-10-07,NONE                     ,AIR       ,quests cajole blithely
2016,14601,866,1,2,3031.20,0.02,0.07,N,O,1996-10-12,1996-11-09,1996-10-31,DELIVER IN PERSON        ,TRUCK     ,carefully according to the 
2016,6268,37,2,15,17613.90,0.04,0.05,N,O,1996-09-24,1996-10-05,1996-10-21,TAKE BACK RETURN         ,MAIL      ,uests haggle carefully furiously regul
2016,12143,406,3,8,8441.12,0.09,0.02,N,O,1996-09-19,1996-10-21,1996-10-13,TAKE BACK RETURN         ,SHIP      ,mptotes haggle ideas. packages wake flu
2017,10255,256,1,49,57097.25,0.10,0.06,N,O,1998-05-26,1998-07-01,1998-06-06,COLLECT COD              ,TRUCK     , after the unusual instructions. sly
2017,7008,9,2,14,12810.00,0.07,0.04,N,O,1998-06-28,1998-06-15,1998-07-11,NONE                     ,TRUCK     ,ily final w
2017,8345,862,3,11,13786.74,0.05,0.02,N,O,1998-05-22,1998-07-13,1998-05-26,TAKE BACK RETURN         ,TRUCK     ,gside of the slyly dogged dolp
2018,19421,422,1,2,2680.84,0.02,0.07,N,O,1995-06-25,1995-06-20,1995-07-04,NONE                     ,TRUCK     ,ly ironic accounts against the slyly sly
2018,12812,813,2,23,39670.63,0.05,0.01,R,F,1995-05-05,1995-05-12,1995-05-22,TAKE BACK RETURN         ,RAIL      ,ingly even theodolites s
2019,323,824,1,31,37922.92,0.07,0.03,R,F,1992-11-18,1992-12-26,1992-11-24,DELIVER IN PERSON        ,FOB       ,l ideas across the slowl
2019,5186,697,2,18,19641.24,0.04,0.03,R,F,1993-01-24,1992-12-22,1993-02-02,NONE                     ,MAIL      ,are carefully furiously regular requ
2020,3353,113,1,50,62817.50,0.06,0.01,R,F,1993-07-12,1993-08-28,1993-08-02,COLLECT COD              ,TRUCK     ,ts against the pending ideas serve along
2020,17567,369,2,40,59382.40,0.09,0.00,A,F,1993-10-17,1993-09-14,1993-10-29,TAKE BACK RETURN         ,RAIL      ,ently across the
2020,1381,135,3,30,38471.40,0.07,0.04,A,F,1993-09-08,1993-08-11,1993-09-29,TAKE BACK RETURN         ,AIR       ,ly about the blithely ironic foxes. bold
2020,6086,599,4,27,26786.16,0.05,0.06,A,F,1993-07-14,1993-09-02,1993-08-03,NONE                     ,FOB       ,e of the bold foxes haggle 
2021,8471,246,1,7,9656.29,0.08,0.04,N,O,1995-10-17,1995-09-29,1995-10-20,NONE                     ,MAIL      , accounts boost blithely. blithely reg
2021,16528,61,2,19,27445.88,0.04,0.05,N,O,1995-08-14,1995-09-05,1995-08-23,NONE                     ,RAIL      , above the slyly fl
2022,16841,108,1,38,66797.92,0.00,0.08,R,F,1992-07-05,1992-04-20,1992-07-13,TAKE BACK RETURN         ,REG AIR   , against the express accounts wake ca
2022,5477,733,2,38,52533.86,0.05,0.04,R,F,1992-06-17,1992-05-15,1992-06-28,COLLECT COD              ,SHIP      ,instructions dazzle carefull
2022,4890,891,3,48,86154.72,0.10,0.02,A,F,1992-06-14,1992-06-04,1992-07-12,DELIVER IN PERSON        ,SHIP      ,counts. slyly enticing accounts are during 
2022,18134,135,4,16,16834.08,0.05,0.03,R,F,1992-06-23,1992-05-22,1992-07-07,NONE                     ,TRUCK     ,ages wake slyly care
2022,9949,950,5,36,66921.84,0.05,0.02,R,F,1992-03-24,1992-05-07,1992-04-13,NONE                     ,MAIL      ,"ly after the foxes. regular, final inst"
2022,12815,602,6,20,34556.20,0.08,0.08,A,F,1992-03-31,1992-04-17,1992-04-02,NONE                     ,SHIP      ,r deposits kindle 
2022,7716,717,7,13,21108.23,0.06,0.08,R,F,1992-04-04,1992-05-30,1992-04-21,NONE                     ,FOB       , orbits haggle fluffily fl
2023,12625,412,1,9,13838.58,0.05,0.04,R,F,1992-06-04,1992-06-30,1992-06-10,NONE                     ,AIR       ,ly regular pinto beans poa
2023,3774,534,2,2,3355.54,0.01,0.00,R,F,1992-08-27,1992-07-16,1992-08-29,DELIVER IN PERSON        ,RAIL      ,ing packages. fluffily silen
2023,1854,357,3,25,43896.25,0.10,0.03,A,F,1992-07-19,1992-07-07,1992-08-15,NONE                     ,REG AIR   , wake furiously among the slyly final
2023,18482,19,4,9,12604.32,0.02,0.00,A,F,1992-07-23,1992-07-04,1992-08-20,TAKE BACK RETURN         ,AIR       ,nts maintain blithely alongside of the
2023,1944,698,5,22,40610.68,0.04,0.06,A,F,1992-06-15,1992-07-13,1992-06-21,TAKE BACK RETURN         ,SHIP      ,ronic attainments. 
2023,4283,46,6,29,34431.12,0.02,0.06,A,F,1992-08-29,1992-07-28,1992-09-18,COLLECT COD              ,RAIL      ,usual instructions. bli
2023,13398,662,7,50,65569.50,0.00,0.03,R,F,1992-06-20,1992-07-04,1992-06-23,DELIVER IN PERSON        ,FOB       ,its! carefully ex
2048,3430,684,1,7,9334.01,0.06,0.01,R,F,1993-12-07,1994-01-31,1994-01-05,TAKE BACK RETURN         ,REG AIR   ,lent platelets boost deposits. carefully sp
2048,738,489,2,5,8193.65,0.04,0.04,A,F,1994-01-18,1994-02-01,1994-01-29,TAKE BACK RETURN         ,TRUCK     ,affix carefully against 
2048,10054,55,3,12,11568.60,0.01,0.05,R,F,1994-01-28,1994-01-19,1994-02-08,NONE                     ,AIR       , even theodoli
2048,9630,408,4,11,16935.93,0.10,0.03,R,F,1993-12-20,1994-01-19,1994-01-04,TAKE BACK RETURN         ,MAIL      ,totes. idly ironic packages nag
2049,18807,808,1,25,43145.00,0.08,0.00,N,O,1996-03-31,1996-02-29,1996-04-15,DELIVER IN PERSON        ,MAIL      , excuses above the 
2049,3461,715,2,31,42298.26,0.10,0.05,N,O,1995-12-25,1996-02-25,1995-12-29,TAKE BACK RETURN         ,MAIL      , packages are slyly alongside
2049,6656,913,3,18,28127.70,0.05,0.05,N,O,1996-01-09,1996-01-22,1996-01-25,TAKE BACK RETURN         ,AIR       , sleep fluffily. dependencies use never
2049,541,542,4,39,56220.06,0.02,0.05,N,O,1996-01-17,1996-01-21,1996-02-03,TAKE BACK RETURN         ,MAIL      ,the even pinto beans 
2049,12528,791,5,30,43215.60,0.04,0.06,N,O,1995-12-16,1996-02-04,1995-12-22,NONE                     ,TRUCK     ,ial accounts are among the furiously perma
2049,8309,826,6,17,20694.10,0.07,0.00,N,O,1996-02-04,1996-03-01,1996-02-24,NONE                     ,FOB       ,"al, regular foxes. pending, "
2050,7263,778,1,47,55002.22,0.05,0.03,A,F,1994-08-25,1994-07-18,1994-09-15,DELIVER IN PERSON        ,TRUCK     ,tside the blithely pending packages eat f
2050,15159,160,2,48,51559.20,0.05,0.01,A,F,1994-09-30,1994-08-23,1994-10-29,COLLECT COD              ,AIR       , final packages. pinto
2050,11210,211,3,41,45969.61,0.10,0.04,A,F,1994-06-08,1994-08-27,1994-06-23,NONE                     ,AIR       , final theodolites. depende
2050,3153,913,4,11,11617.65,0.02,0.01,A,F,1994-07-27,1994-08-18,1994-08-02,DELIVER IN PERSON        ,REG AIR   ,"ns. bold, final ideas cajole among the fi"
2050,16783,784,5,16,27196.48,0.07,0.01,R,F,1994-08-17,1994-07-28,1994-09-05,DELIVER IN PERSON        ,REG AIR   ,al accounts. closely even 
2050,4842,351,6,29,50658.36,0.00,0.05,A,F,1994-09-23,1994-08-01,1994-10-23,TAKE BACK RETURN         ,MAIL      ,oxes alongsid
2050,4727,982,7,25,40793.00,0.10,0.00,R,F,1994-08-18,1994-07-04,1994-09-04,TAKE BACK RETURN         ,RAIL      ,y according to 
2051,2429,430,1,43,57251.06,0.08,0.04,N,O,1996-04-22,1996-06-16,1996-04-28,COLLECT COD              ,RAIL      ,ounts sleep fluffily even requ
2051,12935,936,2,48,88700.64,0.01,0.02,N,O,1996-05-04,1996-06-14,1996-05-19,NONE                     ,TRUCK     ,unts. pending platelets believe about
2052,6783,40,1,50,84489.00,0.09,0.08,R,F,1992-06-22,1992-06-03,1992-07-19,DELIVER IN PERSON        ,AIR       ,wake after the decoy
2052,13487,751,2,35,49016.80,0.09,0.05,A,F,1992-05-29,1992-05-24,1992-06-11,NONE                     ,TRUCK     ,ts according t
2052,4221,984,3,16,18003.52,0.01,0.08,A,F,1992-06-30,1992-07-09,1992-07-12,NONE                     ,SHIP      ,y final deposits cajole according 
2052,9592,593,4,47,70574.73,0.08,0.01,A,F,1992-06-18,1992-05-16,1992-07-02,TAKE BACK RETURN         ,REG AIR   ,final requests. stealt
2053,10069,330,1,20,19581.20,0.09,0.00,A,F,1995-04-25,1995-04-12,1995-05-13,NONE                     ,TRUCK     ,ly ironic foxes haggle slyly speci
2053,3230,231,2,34,38529.82,0.07,0.00,A,F,1995-03-15,1995-03-20,1995-04-09,TAKE BACK RETURN         ,TRUCK     ,ions. unusual dependencies
2053,6428,941,3,46,61383.32,0.01,0.03,R,F,1995-04-01,1995-04-02,1995-04-18,NONE                     ,RAIL      ,tions. furiously even requests hagg
2053,12096,359,4,31,31250.79,0.06,0.08,R,F,1995-03-23,1995-03-13,1995-04-16,DELIVER IN PERSON        ,SHIP      ,ts. fluffily final mul
2054,11232,233,1,11,12575.53,0.03,0.05,R,F,1992-08-13,1992-08-26,1992-08-22,NONE                     ,AIR       ,ular accou
2054,11931,454,2,31,57130.83,0.05,0.08,A,F,1992-08-18,1992-09-04,1992-08-24,NONE                     ,FOB       ,"se bold, regular accounts. unusual depos"
2054,12099,100,3,32,32354.88,0.06,0.00,A,F,1992-06-23,1992-07-08,1992-07-22,NONE                     ,FOB       , packages thrash. carefully final
2054,17399,934,4,14,18429.46,0.10,0.05,R,F,1992-06-25,1992-09-05,1992-07-14,DELIVER IN PERSON        ,SHIP      ,uickly final
2054,597,98,5,40,59903.60,0.08,0.06,R,F,1992-06-23,1992-08-09,1992-07-04,TAKE BACK RETURN         ,RAIL      ,n pinto beans. ironic courts are iro
2054,13345,609,6,17,21391.78,0.08,0.01,A,F,1992-06-09,1992-08-28,1992-06-16,NONE                     ,AIR       ,ges nag acc
2054,1036,790,7,4,3748.12,0.00,0.08,R,F,1992-08-12,1992-08-31,1992-08-15,DELIVER IN PERSON        ,AIR       ,lyly careful requests wake fl
2055,4445,446,1,15,20241.60,0.04,0.06,A,F,1993-09-15,1993-10-06,1993-10-07,NONE                     ,REG AIR   ,furiously bold 
2055,828,829,2,15,25932.30,0.06,0.05,R,F,1993-10-30,1993-11-21,1993-11-22,COLLECT COD              ,RAIL      ,gular foxes. b
2055,13434,698,3,12,16169.16,0.00,0.02,A,F,1993-10-26,1993-11-23,1993-11-22,COLLECT COD              ,TRUCK     ,al pains. acco
2055,13371,635,4,16,20549.92,0.02,0.02,A,F,1993-11-16,1993-11-12,1993-11-28,NONE                     ,TRUCK     ,arefully daringly regular accounts.
2080,686,437,1,5,7933.40,0.08,0.05,R,F,1993-08-26,1993-08-07,1993-09-02,DELIVER IN PERSON        ,TRUCK     ,refully unusual theo
2080,19696,966,2,39,63011.91,0.07,0.04,A,F,1993-08-22,1993-09-09,1993-08-23,COLLECT COD              ,FOB       ,ic deposits haggle slyly carefully eve
2081,8845,620,1,26,45599.84,0.03,0.08,N,O,1997-10-21,1997-10-03,1997-11-10,NONE                     ,FOB       ,among the slyly express accounts. silen
2081,14831,360,2,13,22695.79,0.07,0.05,N,O,1997-08-23,1997-08-22,1997-09-09,TAKE BACK RETURN         ,MAIL      ,fter the even deposi
2081,1295,798,3,32,38281.28,0.09,0.07,N,O,1997-09-05,1997-09-26,1997-10-03,TAKE BACK RETURN         ,SHIP      ,"e. final, regular dependencies sleep slyly!"
2081,8467,468,4,23,31635.58,0.03,0.08,N,O,1997-07-06,1997-09-11,1997-07-21,TAKE BACK RETURN         ,MAIL      ,ual requests wake blithely above the
2081,11215,477,5,19,21397.99,0.02,0.06,N,O,1997-10-01,1997-08-12,1997-10-18,COLLECT COD              ,SHIP      ,s affix sometimes express requests. quickly
2081,14155,420,6,31,33143.65,0.03,0.06,N,O,1997-09-19,1997-09-13,1997-09-27,NONE                     ,AIR       ," silent, spe"
2082,7446,218,1,36,48723.84,0.00,0.00,R,F,1995-01-20,1995-03-18,1995-01-31,COLLECT COD              ,MAIL      ,haggle furiously silent pinto beans
2082,10454,975,2,12,16373.40,0.08,0.05,A,F,1995-01-27,1995-02-11,1995-02-07,NONE                     ,FOB       , ironic instructions. carefull
2083,2392,897,1,37,47892.43,0.07,0.00,R,F,1993-09-07,1993-09-30,1993-09-18,TAKE BACK RETURN         ,MAIL      ,ng the special foxes wake packages. f
2084,18117,922,1,42,43474.62,0.03,0.05,A,F,1993-03-29,1993-05-05,1993-04-22,COLLECT COD              ,REG AIR   ,y fluffily even foxes. 
2084,17984,252,2,23,43745.54,0.09,0.08,A,F,1993-06-05,1993-05-26,1993-06-06,DELIVER IN PERSON        ,AIR       ,es against 
2084,13536,326,3,37,53632.61,0.07,0.05,A,F,1993-07-16,1993-04-20,1993-08-06,NONE                     ,AIR       ,y careful courts.
2084,9378,156,4,9,11586.33,0.02,0.02,A,F,1993-03-18,1993-06-08,1993-03-30,NONE                     ,TRUCK     ,heaves boost slyly after the pla
2084,2686,443,5,28,44483.04,0.07,0.02,R,F,1993-05-04,1993-05-14,1993-05-31,COLLECT COD              ,TRUCK     ,cajole quickly carefu
2084,11497,759,6,15,21127.35,0.09,0.04,A,F,1993-06-23,1993-04-25,1993-07-23,COLLECT COD              ,SHIP      ,tithes. bravely pendi
2084,19341,611,7,34,42851.56,0.09,0.02,R,F,1993-06-20,1993-05-28,1993-06-25,DELIVER IN PERSON        ,RAIL      , carefully ironic requests. fluffil
2085,4020,275,1,45,41580.90,0.00,0.07,R,F,1994-02-27,1994-01-11,1994-03-29,TAKE BACK RETURN         ,MAIL      ,. carefully e
2086,5983,984,1,22,41557.56,0.03,0.07,R,F,1994-12-04,1994-12-16,1994-12-20,DELIVER IN PERSON        ,RAIL      ,idly busy acc
2086,14092,885,2,32,32194.88,0.04,0.06,A,F,1994-11-15,1995-01-05,1994-12-09,TAKE BACK RETURN         ,TRUCK     ,e carefully along th
2086,10494,495,3,44,61797.56,0.02,0.01,A,F,1994-12-04,1994-11-30,1994-12-21,DELIVER IN PERSON        ,FOB       ,latelets s
2086,8390,907,4,27,35056.53,0.02,0.00,A,F,1994-11-04,1995-01-14,1994-11-25,COLLECT COD              ,REG AIR   ,theodolites haggle blithely blithe p
2086,15507,38,5,33,46942.50,0.04,0.00,A,F,1995-02-06,1994-11-25,1995-02-15,NONE                     ,SHIP      , slyly regular foxes. un
2086,19917,456,6,20,36738.20,0.01,0.03,R,F,1994-11-30,1994-12-28,1994-12-07,COLLECT COD              ,FOB       ,lithely ironic acc
2086,15596,392,7,7,10581.13,0.04,0.05,R,F,1994-12-27,1994-12-10,1995-01-05,COLLECT COD              ,RAIL      , beans haggle car
2087,12669,670,1,1,1581.66,0.05,0.04,N,O,1998-03-27,1998-03-24,1998-04-18,DELIVER IN PERSON        ,REG AIR   ,the quickly idle acco
2087,16726,525,2,46,75565.12,0.10,0.03,N,O,1998-02-24,1998-04-02,1998-03-04,DELIVER IN PERSON        ,AIR       ,ter the dolphins.
2087,6174,175,3,1,1080.17,0.02,0.05,N,O,1998-05-27,1998-04-11,1998-06-12,COLLECT COD              ,REG AIR   ,hely final acc
2087,5874,640,4,6,10679.22,0.03,0.08,N,O,1998-04-23,1998-03-27,1998-05-18,DELIVER IN PERSON        ,REG AIR   ,dazzle after the slyly si
2112,7010,11,1,18,16506.18,0.02,0.05,N,O,1997-05-02,1997-03-16,1997-05-25,TAKE BACK RETURN         ,TRUCK     ,"lphins solve ideas. even, special reque"
