o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
1891,6091,F,110635.02,1994-12-15,5-LOW          ,Clerk#000000495,0,unusual foxes sleep regular deposits. requests wake special pac
1892,2335,F,161949.13,1994-03-26,5-LOW          ,Clerk#000000733,0,"sts. slyly regular dependencies use slyly. ironic, spec"
1893,12440,O,176761.48,1997-10-30,2-HIGH         ,Clerk#000000111,0,"olites. silent, special deposits eat slyly quickly express packages; hockey p"
1894,7501,F,72521.39,1992-03-30,1-URGENT       ,Clerk#000000626,0,e furiously. furiously even accounts are slyly final accounts. closely speci
1895,652,F,39190.31,1994-05-30,3-MEDIUM       ,Clerk#000000878,0,ress accounts. bold accounts cajole. slyly final pinto beans poach regul
1920,10957,O,152954.16,1998-06-24,5-LOW          ,Clerk#000000018,0,hely; furiously regular excuses
1921,8612,F,76885.07,1994-01-18,3-MEDIUM       ,Clerk#000000293,0,counts. slyly quiet requests along the ruthlessly regular accounts are 
1922,5552,O,23901.42,1996-07-13,3-MEDIUM       ,Clerk#000000984,0,side of the blithely final re
1923,13447,O,239248.59,1997-07-07,1-URGENT       ,Clerk#000000471,0, express dolphins. 
1924,7468,O,275697.36,1996-09-07,4-NOT SPECIFIED,Clerk#000000823,0, of the ironic accounts. instructions near the final instr
1925,1670,F,198736.03,1992-03-05,1-URGENT       ,Clerk#000000986,0,e slyly regular deposits. furiously 
1926,9298,O,152603.25,1996-01-31,2-HIGH         ,Clerk#000000568,0,cajole. even warhorses sleep carefully. 
1927,13984,O,30839.69,1995-09-30,3-MEDIUM       ,Clerk#000000616,0,riously special packages. permanent pearls wake furiously. even packages alo
1952,6616,F,14249.16,1994-03-16,2-HIGH         ,Clerk#000000254,0, silent accounts boost 
1953,14941,F,86240.29,1993-11-30,3-MEDIUM       ,Clerk#000000891,0, fluffily along the quickly even packages. 
1954,5590,O,213269.94,1997-05-31,4-NOT SPECIFIED,Clerk#000000104,0, unusual excuses cajole according to the blithely regular theodolites.
1955,1207,F,165616.03,1992-04-20,1-URGENT       ,Clerk#000000792,0,ly special ideas. sometimes final 
1956,12577,F,137264.00,1992-09-20,4-NOT SPECIFIED,Clerk#000000600,0,ironic ideas are silent ideas. furiously final deposits sleep slyly carefu
1957,3011,O,134646.92,1998-07-21,2-HIGH         ,Clerk#000000639,0,nding excuses about the 
1958,5216,O,244417.33,1995-09-22,5-LOW          ,Clerk#000000343,0, haggle blithely. flu
1959,4237,O,106224.21,1997-01-13,4-NOT SPECIFIED,Clerk#000000631,0, cajole about the blithely express requests. even excuses mold bl
1984,5068,O,121109.55,1998-04-01,1-URGENT       ,Clerk#000000416,0, slyly special instructions. unusual foxes use packages. carefully regular req
1985,581,F,230053.01,1994-09-02,4-NOT SPECIFIED,Clerk#000000741,0,slyly slyly even pains. slyly reg
1986,14842,F,41463.57,1994-05-05,2-HIGH         ,Clerk#000000609,0,across the theodolites. quick
1987,9820,F,9815.65,1994-04-30,2-HIGH         ,Clerk#000000652,0,gular platelets alongside 
1988,10741,O,169703.29,1995-10-06,4-NOT SPECIFIED,Clerk#000000011,0,ly ironic dolphins serve quickly busy accounts. bu
